num_incident,accident_type
2010S000001,frontal
2010S000002,frontal
2010S000003,collision
2010S000004,collision
2010S000005,crash
2010S000006,frontal
2010S000007,frontal
2010S000008,fall--motorcycle
2010S000009,frontal
2010S000010,frontal
2010S000011,crash
2010S000012,frontal
2010S000013,frontal
2010S000014,fall--motorcycle
2010S000015,frontal
2010S000016,run_over
2010S000017,frontal
2010S000018,frontal
2010S000019,collision
2010S000020,collision
2010S000021,collision
2010S000022,frontal
2010S000023,frontal
2010S000024,frontal
2010S000025,frontal
2010S000026,misc_type
2010S000027,collision
2010S000028,frontal
2010S000029,frontal
2010S000030,run_over
2010S000031,run_over
2010S000032,collision
2010S000033,collision
2010S000034,run_over
2010S000035,crash
2010S000036,frontal
2010S000037,frontal
2010S000038,collision
2010S000039,collision
2010S000040,collision
2010S000041,collision
2010S000042,collision
2010S000043,collision
2010S000044,run_over
2010S000045,collision
2010S000046,collision
2010S000047,fall--motorcycle
2010S000048,collision
2010S000049,frontal
2010S000050,collision
2010S000051,collision
2010S000052,collision
2010S000053,collision
2010S000054,run_over
2010S000055,frontal
2010S000056,fall--motorcycle
2010S000057,run_over
2010S000058,frontal
2010S000059,collision
2010S000060,frontal
2010S000061,collision
2010S000062,crash
2010S000063,collision
2010S000064,fall--motorcycle
2010S000065,collision
2010S000066,misc_type
2010S000067,collision
2010S000068,collision
2010S000069,collision
2010S000070,misc_type
2010S000071,run_over
2010S000072,collision
2010S000073,run_over
2010S000074,frontal
2010S000075,frontal
2010S000076,fall--motorcycle
2010S000077,collision
2010S000078,collision
2010S000079,frontal
2010S000080,collision
2010S000081,collision
2010S000082,collision
2010S000083,misc_type
2010S000084,frontal
2010S000085,fall--motorcycle
2010S000086,run_over
2010S000087,frontal
2010S000088,frontal
2010S000089,collision
2010S000090,fall--motorcycle
2010S000091,frontal
2010S000092,crash
2010S000093,frontal
2010S000094,collision
2010S000095,collision
2010S000096,frontal
2010S000097,collision
2010S000098,frontal
2010S000099,collision
2010S000100,frontal
2010S000101,frontal
2010S000102,frontal
2010S000103,collision
2010S000104,frontal
2010S000105,frontal
2010S000106,collision
2010S000107,collision
2010S000108,collision
2010S000109,frontal
2010S000110,run_over
2010S000111,collision
2010S000112,fall_inside_vehicle
2010S000113,frontal
2010S000114,frontal
2010S000115,collision
2010S000116,run_over
2010S000117,crash
2010S000118,run_over
2010S000119,frontal
2010S000120,fall--motorcycle
2010S000121,fall_inside_vehicle
2010S000122,frontal
2010S000123,frontal
2010S000124,collision
2010S000125,collision
2010S000126,fall--motorcycle
2010S000127,frontal
2010S000128,frontal
2010S000129,frontal
2010S000130,collision
2010S000131,frontal
2010S000132,fall--motorcycle
2010S000133,collision
2010S000134,collision
2010S000135,collision
2010S000136,collision
2010S000137,crash
2010S000138,frontal
2010S000139,frontal
2010S000140,collision
2010S000141,collision
2010S000142,fall--motorcycle
2010S000143,collision
2010S000144,collision
2010S000145,collision
2010S000146,collision
2010S000147,frontal
2010S000148,run_over
2010S000149,collision
2010S000150,collision
2010S000151,frontal
2010S000152,frontal
2010S000153,collision
2010S000154,collision
2010S000155,frontal
2010S000156,crash
2010S000157,frontal
2010S000158,frontal
2010S000159,collision
2010S000160,fall--motorcycle
2010S000161,run_over
2010S000162,frontal
2010S000163,collision
2010S000164,frontal
2010S000165,run_over
2010S000166,frontal
2010S000167,collision
2010S000168,frontal
2010S000169,collision
2010S000170,fall--motorcycle
