index,temp_avg,temp_max,temp_min,relative_humidity,precipitation,windspeed,wind_direction,max_windspeed,pressure,solar_radiation,datetime
0,9.4,9.7,9.4,100,0.0,3.2,11,6.5,1025.9,0.0,2016-01-01 00:00:00
1,9.7,9.8,9.6,100,0.0,2.9,338,9.0,1025.6,0.0,2016-01-01 00:30:00
2,9.7,9.8,9.6,99,0.0,7.6,8,11.9,1025.4,0.0,2016-01-01 01:00:00
3,9.9,10.0,9.8,96,0.0,2.9,346,10.8,1025.4,0.0,2016-01-01 01:30:00
4,9.9,9.9,9.8,94,0.0,2.2,320,8.6,1025.5,0.0,2016-01-01 02:00:00
5,10.0,10.1,9.9,91,0.0,6.1,298,11.2,1025.4,0.0,2016-01-01 02:30:00
6,10.1,10.3,9.9,86,0.0,7.2,288,13.7,1025.2,0.0,2016-01-01 03:00:00
7,10.3,10.3,10.2,82,0.0,5.4,262,11.2,1024.9,0.0,2016-01-01 03:30:00
8,9.7,10.2,9.5,79,0.0,11.5,277,18.4,1024.8,0.0,2016-01-01 04:00:00
9,9.3,9.5,9.2,84,0.0,15.8,280,22.3,1024.8,0.0,2016-01-01 04:30:00
10,9.2,9.3,9.1,86,0.0,15.1,281,20.2,1024.7,0.0,2016-01-01 05:00:00
11,9.5,9.8,9.2,82,0.0,12.2,280,17.6,1024.4,0.0,2016-01-01 05:30:00
12,9.4,9.7,9.2,81,0.0,15.5,280,22.3,1024.5,0.0,2016-01-01 06:00:00
13,9.4,9.4,9.2,81,0.0,14.8,276,20.9,1024.4,0.0,2016-01-01 06:30:00
14,9.5,9.8,9.3,82,0.0,13.0,272,21.2,1024.3,4.0,2016-01-01 07:00:00
15,9.9,10.0,9.6,81,0.0,12.6,253,18.7,1024.3,15.0,2016-01-01 07:30:00
16,9.3,9.6,9.0,84,0.0,18.0,265,24.1,1024.5,29.0,2016-01-01 08:00:00
17,9.8,10.0,9.6,95,0.0,16.6,242,22.0,1024.5,40.0,2016-01-01 08:30:00
18,10.0,10.0,9.9,100,0.0,14.8,235,20.9,1024.5,43.0,2016-01-01 09:00:00
19,10.1,10.3,10.0,100,0.0,13.0,232,19.1,1024.7,73.0,2016-01-01 09:30:00
20,10.6,11.0,10.3,100,0.0,12.6,222,21.2,1024.5,110.0,2016-01-01 10:00:00
21,11.0,11.1,11.0,100,0.0,15.1,210,24.8,1024.0,86.0,2016-01-01 10:30:00
22,10.8,10.9,10.7,100,0.0,17.6,216,25.2,1023.7,54.0,2016-01-01 11:00:00
23,10.9,11.0,10.7,100,0.0,16.2,216,25.9,1023.3,111.0,2016-01-01 11:30:00
24,11.0,11.0,11.0,100,0.0,15.1,213,21.6,1022.6,93.0,2016-01-01 12:00:00
25,11.4,12.1,11.0,100,0.0,13.7,210,21.6,1021.9,185.0,2016-01-01 12:30:00
26,12.5,12.9,12.1,94,0.0,13.3,213,21.6,1021.3,232.0,2016-01-01 13:00:00
27,12.8,13.1,12.4,89,0.0,13.0,220,20.2,1020.9,217.0,2016-01-01 13:30:00
28,12.5,12.8,12.0,92,0.0,13.3,225,20.5,1020.5,149.0,2016-01-01 14:00:00
29,11.8,12.0,11.6,98,0.0,13.7,214,19.1,1020.4,53.0,2016-01-01 14:30:00
30,11.6,11.7,11.6,100,0.0,13.0,214,18.4,1020.2,50.0,2016-01-01 15:00:00
31,11.4,11.6,11.1,100,0.0,12.2,230,18.0,1019.9,38.0,2016-01-01 15:30:00
32,10.9,11.1,10.7,100,0.0,11.2,234,16.9,1019.7,13.0,2016-01-01 16:00:00
33,10.5,10.7,10.4,100,0.0,15.1,240,22.0,1019.6,0.0,2016-01-01 16:30:00
34,10.3,10.4,10.2,100,0.0,16.6,247,23.4,1019.4,0.0,2016-01-01 17:00:00
35,10.2,10.3,10.2,100,0.0,21.2,254,27.7,1019.2,0.0,2016-01-01 17:30:00
36,10.3,10.4,10.3,100,0.0,20.5,256,25.9,1019.3,0.0,2016-01-01 18:00:00
37,10.3,10.4,10.2,100,0.0,19.1,256,24.5,1019.3,0.0,2016-01-01 18:30:00
38,10.3,10.4,10.3,100,0.0,18.0,250,21.6,1019.1,0.0,2016-01-01 19:00:00
